userName,score,content,at,thumbsUpCount
Aishwarya Ganesh,1,Unfortunate experience with the app and customer services as well. Do not add your card to their app.,2026-03-03 12:18:13,0
Ali Ahmed,5,it's like amazon but cheaper,2026-03-03 11:03:27,0
YOUNESS Oz,5,Good,2026-03-03 10:38:43,0
Akhlak Rahman,4,good 👍,2026-03-03 10:04:41,0
Kyoon Kaise,5,noon is very good i like purchase with noon,2026-03-03 09:56:33,0
Houssam Chahine,1,"Very bad experience. The app shows items as available, but after placing the order, the company calls to inform me that the items are not available. This wastes my time and forces me to request a refund. In addition, the driver often arrives late and the food arrives cold. Overall, this has been very disappointing, and I will stop using the app.",2026-03-03 09:51:02,2
mustafa mustafa,5,great service,2026-03-03 09:29:42,0
Muhammad Sajid Siddiqui,5,"excellent service and Quality of items available at noon delivery and reliability number one,the Issue only 6 split payment through tabby lock 🔒 but showing pay in 6 interest free in noon app please resolve?",2026-03-03 09:04:10,1
saimani kandan,5,Good,2026-03-03 09:03:38,0
Md Ahsan,5,good,2026-03-03 08:31:29,0
Basit Raza,5,Great app,2026-03-03 06:36:29,0
Mohd waris Akhtar shah,4,nice work 👍,2026-03-03 04:59:52,0
Rodel Candelaria,5,excellent,2026-03-03 04:00:49,0
Mariel Marz,1,I had bad experiences in this app and customer service doesn't exist. oh well I had ordered so many in the app so I guess its time. very frustrating,2026-03-03 03:47:13,1
Nashim Noushad,4,Nice 👍🏻,2026-03-03 03:46:20,0
Dea Ga,5,one of the best app ever I really happy to shopping this platform,2026-03-03 03:28:58,0
Yassoo Yassoo,5,This app is very good and have honest,2026-03-03 03:13:09,0
Nishad Abdul Salim,2,"waiting for the delivery, when I received the product after I will update the qulity and service",2026-03-03 02:48:57,0
Easin Hossain,5,good,2026-03-03 02:46:02,0
Md Altamash,5,excellent,2026-03-03 02:08:03,0
M O H A M E D A S H I Q,5,good job,2026-03-03 01:49:16,0
jrue Collamar,5,it's very good for me,2026-03-03 00:37:43,0
azmat ali,5,nice service,2026-03-03 00:35:19,0
Md Hhh,5,good,2026-03-03 00:18:03,0
Waqar Amin,5,Good day GOOD JOB,2026-03-03 00:13:23,0
GLORIA “Ghie” BUEZA,5,noon is very accommodate service...,2026-03-02 23:45:54,0
Ali,5,very good app,2026-03-02 23:45:24,0
syed abdullah khalid,5,awesome app,2026-03-02 23:37:20,0
A K indian,5,السلام,2026-03-02 23:12:52,0
Sarim Ali,5,better app,2026-03-02 22:56:22,0
Amar Afghan,5,good👍,2026-03-02 22:41:14,0
Muhammed Sohan,5,very good,2026-03-02 22:32:37,0
Sami Sami Ullh Khan,4,good service,2026-03-02 22:03:33,0
Ajhar Tyagi,5,vv good,2026-03-02 21:30:27,0
Haseen Akhtar,4,good,2026-03-02 21:28:34,0
Omar Abo elmkarem,5,thank you noon ❤️💯,2026-03-02 21:27:25,0
Hazem Mohamed,5,the best app,2026-03-02 21:12:42,0
Rohit,5,exilent,2026-03-02 21:09:28,0
Jamila Fekry,5,very good 😊,2026-03-02 20:34:24,0
Pavan Prahaladha,5,good,2026-03-02 20:34:23,0
Apsana Nasrin,1,they have some fake seller who just take money and doesn't deliver right product. Don't order anything from Noon.,2026-03-02 19:41:08,0
Cody Brauns,1,Frustrating App to use. Slow.,2026-03-02 19:37:49,0
Afroj Alam,5,good,2026-03-02 19:00:11,0
Thuhaib AG,2,very slow,2026-03-02 18:51:41,0
MOHAMED AlSaady,4,شكرااا,2026-03-02 18:27:28,0
Catheraine P,1,Used to be good. Now it becomes the worst app,2026-03-02 17:59:08,0
Noureen Elkahky,5,البرنامج كويس جدا,2026-03-02 17:16:28,0
Dona Paran,5,"very good app market, easy to order the items you need if you don't have time to go outside especially this Ramadan ❤️ thanks noon",2026-03-02 16:29:59,0
nash3.214,5,best item and good quality and service,2026-03-02 16:22:18,0
Zeeshan Akhtar,5,good,2026-03-02 16:14:13,0
Bu khalid,1,فرق كبير بين تجربتي معه وتجاربي مع امازون,2026-03-02 16:04:51,0
Geonita Soriano,5,NOON DELIVERY IS THE FASTEST....RXCELLENT...!!!,2026-03-02 15:36:14,0
Nawas Khan,5,very good offer,2026-03-02 15:14:44,0
chandan singh,5,very good service,2026-03-02 15:05:29,0
Oden Kozuki,1,deceiving delivery time,2026-03-02 15:04:47,0
Bhaskar Bhasme,4,👍,2026-03-02 14:51:19,0
Alluixa Velasco,5,very good,2026-03-02 14:07:59,0
Muhammad Imran,5,good,2026-03-02 13:54:59,0
Md Rofiqul,5,good,2026-03-02 13:16:53,0
Jihad King,5,good,2026-03-02 13:06:16,0
